iter	MultiClass
0	1.945533905
1	1.945158487
2	1.944783775
3	1.944410121
4	1.944032763
5	1.943658227
6	1.943278752
7	1.942900511
8	1.942526505
9	1.942153734
10	1.941780256
11	1.941407132
12	1.941034008
13	1.940660178
14	1.940288112
15	1.939914282
16	1.939542922
17	1.939171209
18	1.93879879
19	1.938429723
20	1.938054835
21	1.937684357
22	1.937313879
23	1.936944107
24	1.936575745
25	1.936204562
26	1.935834437
27	1.935464311
28	1.935090481
29	1.934706243
30	1.934337
31	1.933968815
32	1.933594985
33	1.933221331
34	1.932847854
35	1.932480552
36	1.932112014
37	1.9317433
38	1.93137194
39	1.930990524
40	1.930623045
41	1.930254508
42	1.92988844
43	1.929520961
44	1.929155599
45	1.928788297
46	1.928418701
47	1.92804787
48	1.927683567
49	1.927317499
50	1.926953196
51	1.926583423
52	1.926213474
53	1.925848465
54	1.92548328
55	1.925119153
56	1.924755908
57	1.924387723
58	1.924019186
59	1.923655588
60	1.923291637
61	1.922928745
62	1.922567265
63	1.922205255
64	1.921841833
65	1.921478588
66	1.921116049
67	1.920753157
68	1.920385855
69	1.920023492
70	1.919661835
71	1.919300178
72	1.918939579
73	1.91856469
74	1.918204268
75	1.917839965
76	1.91747866
77	1.917113299
78	1.9167527
79	1.91638822
80	1.916027798
81	1.915670022
82	1.915307483
83	1.914949883
84	1.914591049
85	1.914218101
86	1.913859796
87	1.913496198
88	1.913139304
89	1.912782057
90	1.912425693
91	1.912067035
92	1.911706612
93	1.911349013
94	1.91099159
95	1.9106197
96	1.910262807
97	1.909887565
98	1.909530495
99	1.909175542
100	1.908819177
101	1.908458226
102	1.908101861
103	1.907746555
104	1.907391072
105	1.90703806
106	1.906682754
107	1.906322331
108	1.905962968
109	1.90560378
110	1.905249004
111	1.904889816
112	1.904536451
113	1.90418238
114	1.903829896
115	1.903476178
116	1.903122989
117	1.902769976
118	1.902416787
119	1.902065362
120	1.901698589
121	1.901333051
122	1.900980038
123	1.900628789
124	1.900277894
125	1.899920647
126	1.899569399
127	1.899219914
128	1.898868313
129	1.898518476
130	1.898168286
131	1.897817214
132	1.89746773
133	1.897118422
134	1.896767702
135	1.896413278
136	1.896060266
137	1.895706724
138	1.895357945
139	1.895008285
140	1.894660741
141	1.894307728
142	1.893953128
143	1.893605055
144	1.893241986
145	1.892894266
146	1.892531727
147	1.892184889
148	1.891822526
149	1.891469866
150	1.89112444
151	1.890773015
152	1.890427235
153	1.890080221
154	1.889734265
155	1.889382311
156	1.889030886
157	1.888679814
158	1.888334211
159	1.887983491
160	1.887639653
161	1.88729352
162	1.88694827
163	1.886597904
164	1.886253535
165	1.885910579
166	1.885565328
167	1.885221137
