iter	Passed	Remaining
0	5	5588
1	15	7744
2	20	6902
3	25	6332
4	34	6951
5	49	8258
6	65	9257
7	80	10003
8	94	10442
9	111	11014
10	126	11352
11	140	11573
12	155	11810
13	171	12045
14	186	12218
15	199	12296
16	214	12415
17	229	12502
18	244	12628
19	258	12682
20	273	12768
21	288	12827
22	304	12931
23	319	12987
24	334	13054
25	350	13123
26	365	13183
27	380	13214
28	395	13252
29	410	13277
30	426	13316
31	440	13337
32	456	13383
33	471	13407
34	487	13453
35	502	13456
36	518	13493
37	533	13503
38	549	13528
39	562	13510
40	578	13525
41	593	13537
42	608	13553
43	623	13551
44	639	13565
45	654	13571
46	669	13569
47	683	13560
48	698	13557
49	714	13572
50	729	13567
51	743	13547
52	758	13545
53	772	13541
54	787	13536
55	802	13522
56	817	13522
57	833	13529
58	848	13527
59	861	13497
60	876	13486
61	891	13486
62	906	13478
63	920	13458
64	935	13451
65	949	13439
66	964	13429
67	978	13415
68	993	13410
69	1009	13407
70	1024	13399
71	1038	13379
72	1053	13372
73	1068	13366
74	1082	13354
75	1096	13336
76	1111	13327
77	1126	13314
78	1141	13307
79	1155	13293
80	1171	13287
81	1186	13279
82	1199	13256
83	1215	13252
84	1230	13245
85	1245	13237
86	1260	13226
87	1274	13213
88	1290	13205
89	1305	13198
90	1320	13187
91	1335	13183
92	1352	13191
93	1367	13177
94	1381	13164
95	1396	13148
96	1411	13137
97	1425	13118
98	1439	13104
99	1454	13090
100	1469	13077
101	1483	13064
102	1498	13051
103	1513	13042
104	1526	13007
105	1532	12921
106	1542	12874
107	1547	12783
108	1552	12692
109	1559	12615
110	1572	12591
111	1587	12587
112	1602	12580
113	1616	12567
114	1632	12561
115	1647	12554
116	1662	12550
117	1676	12534
118	1692	12532
119	1707	12522
120	1721	12507
121	1736	12499
122	1751	12490
123	1766	12479
124	1781	12472
125	1796	12461
126	1811	12454
127	1826	12445
128	1842	12439
129	1856	12426
130	1871	12417
131	1887	12409
132	1902	12401
133	1917	12393
134	1932	12382
135	1947	12374
136	1962	12363
137	1977	12351
138	1992	12344
139	2007	12329
140	2021	12317
141	2036	12306
142	2051	12295
143	2066	12286
144	2082	12278
145	2096	12262
146	2111	12252
147	2127	12247
148	2142	12238
149	2157	12225
150	2173	12219
151	2188	12207
152	2204	12201
153	2218	12189
154	2234	12182
155	2249	12170
156	2264	12160
157	2278	12143
158	2293	12133
159	2308	12120
160	2324	12111
161	2337	12091
162	2351	12077
163	2367	12065
164	2381	12053
165	2396	12039
166	2411	12028
167	2426	12016
168	2441	12003
169	2455	11988
170	2470	11977
171	2485	11966
172	2500	11954
173	2515	11942
174	2531	11932
175	2546	11921
176	2561	11911
177	2576	11896
178	2591	11887
179	2607	11877
180	2622	11867
181	2637	11852
182	2652	11843
183	2667	11831
184	2682	11819
185	2697	11803
186	2712	11791
187	2727	11780
188	2741	11763
189	2755	11748
190	2771	11737
191	2786	11724
192	2800	11711
193	2815	11697
194	2830	11686
195	2845	11672
196	2860	11658
197	2875	11646
198	2890	11635
199	2905	11621
200	2918	11601
201	2924	11551
202	2934	11521
203	2939	11469
204	2944	11418
205	2952	11380
206	2967	11367
207	2982	11357
208	2998	11346
209	3011	11330
210	3027	11320
211	3041	11304
212	3057	11295
213	3071	11281
214	3086	11269
215	3101	11255
216	3116	11243
217	3130	11229
218	3145	11217
219	3159	11202
220	3174	11190
221	3188	11175
222	3203	11163
223	3218	11150
224	3233	11138
225	3248	11124
226	3264	11115
227	3279	11105
228	3295	11096
229	3309	11079
230	3325	11071
231	3340	11059
232	3356	11050
233	3370	11032
234	3386	11022
235	3403	11018
236	3419	11007
237	3433	10992
238	3448	10981
239	3464	10969
240	3479	10958
241	3494	10945
242	3510	10936
243	3525	10923
244	3540	10911
245	3555	10896
246	3570	10884
247	3586	10873
248	3601	10862
249	3615	10847
250	3630	10834
251	3646	10823
252	3661	10811
253	3675	10795
254	3691	10785
255	3706	10772
256	3722	10760
257	3736	10744
258	3751	10732
259	3767	10721
260	3781	10707
261	3795	10691
262	3810	10679
263	3826	10666
264	3840	10652
265	3855	10638
266	3870	10624
267	3884	10611
268	3899	10595
269	3914	10582
270	3928	10568
271	3943	10555
272	3958	10541
273	3973	10529
274	3988	10514
275	4003	10502
276	4019	10490
277	4032	10474
278	4047	10460
279	4062	10447
280	4077	10434
281	4092	10420
282	4107	10406
283	4122	10393
284	4137	10381
285	4151	10364
286	4166	10351
287	4181	10336
288	4196	10323
289	4210	10307
290	4225	10295
291	4240	10281
292	4255	10267
293	4269	10253
294	4284	10239
295	4299	10225
296	4313	10210
297	4328	10196
298	4343	10182
299	4358	10170
300	4372	10154
301	4387	10140
302	4402	10126
303	4417	10114
304	4432	10099
305	4447	10085
306	4462	10073
307	4476	10057
308	4491	10044
309	4506	10030
310	4521	10017
311	4535	10001
312	4550	9987
313	4565	9974
314	4580	9960
315	4584	9924
316	4593	9896
317	4601	9869
318	4606	9834
319	4611	9800
320	4620	9774
321	4636	9762
322	4651	9749
323	4666	9736
324	4679	9719
